0,rank,1/rank
21.0,22.0,0.045454545454545456
23.0,24.0,0.041666666666666664
44.0,45.0,0.022222222222222223
122.0,123.0,0.008130081300813009
38.0,39.0,0.02564102564102564
3.0,4.0,0.25
3.0,4.0,0.25
34.0,35.0,0.02857142857142857
316.0,303.0,0.0033003300330033004
195.0,195.0,0.005128205128205128
86.0,87.0,0.011494252873563218
252.0,247.0,0.004048582995951417
2100.0,600.0,0.0016666666666666668
0.0,1.0,1.0
23.0,24.0,0.041666666666666664
82.0,83.0,0.012048192771084338
29.0,30.0,0.03333333333333333
43.0,44.0,0.022727272727272728
161.0,162.0,0.006172839506172839
193.0,193.0,0.0051813471502590676
625.0,456.0,0.0021929824561403508
50.0,51.0,0.0196078431372549
7.0,8.0,0.125
0.0,1.0,1.0
1196.0,570.0,0.0017543859649122807
263.0,257.0,0.0038910505836575876
138.0,139.0,0.007194244604316547
25.0,26.0,0.038461538461538464
59.0,60.0,0.016666666666666666
11.0,12.0,0.08333333333333333
106.0,107.0,0.009345794392523364
24.0,25.0,0.04
14.0,15.0,0.06666666666666667
37.0,38.0,0.02631578947368421
6.0,7.0,0.14285714285714285
0.0,1.0,1.0
11.0,12.0,0.08333333333333333
374.0,340.0,0.0029411764705882353
6.0,7.0,0.14285714285714285
449.0,380.0,0.002631578947368421
0.0,1.0,1.0
28.0,29.0,0.034482758620689655
84.0,85.0,0.011764705882352941
114.0,115.0,0.008695652173913044
85.0,86.0,0.011627906976744186
56.0,57.0,0.017543859649122806
2.0,3.0,0.3333333333333333
445.0,377.0,0.002652519893899204
0.0,1.0,1.0
105.0,106.0,0.009433962264150943
46.0,47.0,0.02127659574468085
0.0,1.0,1.0
29.0,30.0,0.03333333333333333
13.0,14.0,0.07142857142857142
39.0,40.0,0.025
6.0,7.0,0.14285714285714285
17.0,18.0,0.05555555555555555
0.0,1.0,1.0
103.0,104.0,0.009615384615384616
2.0,3.0,0.3333333333333333
7.0,8.0,0.125
56.0,57.0,0.017543859649122806
24.0,25.0,0.04
3.0,4.0,0.25
2.0,3.0,0.3333333333333333
48.0,49.0,0.02040816326530612
435.0,373.0,0.002680965147453083
0.0,1.0,1.0
41.0,42.0,0.023809523809523808
7.0,8.0,0.125
284.0,277.0,0.0036101083032490976
44.0,45.0,0.022222222222222223
14.0,15.0,0.06666666666666667
28.0,29.0,0.034482758620689655
31.0,32.0,0.03125
37.0,38.0,0.02631578947368421
48.0,49.0,0.02040816326530612
100.0,101.0,0.009900990099009901
77.0,78.0,0.01282051282051282
3.0,4.0,0.25
3.0,4.0,0.25
13.0,14.0,0.07142857142857142
0.0,1.0,1.0
7.0,8.0,0.125
60.0,61.0,0.01639344262295082
112.0,113.0,0.008849557522123894
0.0,1.0,1.0
14.0,15.0,0.06666666666666667
6.0,7.0,0.14285714285714285
6.0,7.0,0.14285714285714285
88.0,89.0,0.011235955056179775
7.0,8.0,0.125
0.0,1.0,1.0
15.0,16.0,0.0625
193.0,193.0,0.0051813471502590676
207.0,207.0,0.004830917874396135
201.0,201.0,0.004975124378109453
7.0,8.0,0.125
28.0,29.0,0.034482758620689655
135.0,136.0,0.007352941176470588
23.0,24.0,0.041666666666666664
82.0,83.0,0.012048192771084338
56.0,57.0,0.017543859649122806
519.0,412.0,0.0024271844660194173
12.0,13.0,0.07692307692307693
116.0,117.0,0.008547008547008548
34.0,35.0,0.02857142857142857
6.0,7.0,0.14285714285714285
0.0,1.0,1.0
141.0,142.0,0.007042253521126761
42.0,43.0,0.023255813953488372
7.0,8.0,0.125
134.0,135.0,0.007407407407407408
26.0,27.0,0.037037037037037035
59.0,60.0,0.016666666666666666
